order_id,customer_id,order_date,product_name,category,quantity,unit_price,revenue,city,is_returned,return_reason,status
ORD10000,CUST1026,2024-05-21,Webcam,Electronics,1,3499,3499,Pune,False,,delivered
ORD10001,CUST1134,2024-10-09,Watch,Fashion,2,4999,9998,Mumbai,False,,delivered
ORD10002,CUST1483,2024-07-08,Cotton Kurta,Fashion,1,699,699,Chennai,False,,delivered
ORD10003,CUST1157,2024-07-02,Air Fryer,Home & Kitchen,1,5999,5999,Chennai,False,,delivered
ORD10004,CUST1399,2024-11-13,Skipping Rope,Sports,2,299,598,Chennai,False,,delivered
ORD10005,CUST1083,2024-01-13,Watch,Fashion,1,4749,4749,Kolkata,False,,delivered
ORD10006,CUST1210,2024-03-22,Sunglasses,Fashion,2,1299,2598,Chennai,True,Defective,shipped
ORD10007,CUST1113,2024-06-28,Watch,Fashion,1,4999,4999,Pune,False,,delivered
ORD10008,CUST1012,2024-06-17,Watch,Fashion,1,4999,4999,Chennai,True,Not as described,delivered
ORD10009,CUST1260,2024-01-15,Moisturizer,Beauty,1,749,749,Pune,False,,delivered
ORD10010,CUST1492,2024-02-25,Air Fryer,Home & Kitchen,1,5699,5699,Pune,False,,delivered
ORD10011,CUST1223,2024-07-16,Yoga Mat,Sports,2,999,1998,Delhi,False,,delivered
ORD10012,CUST1223,2024-07-05,Phone Case,Electronics,1,399,399,Delhi,False,,cancelled
ORD10013,CUST1319,2024-06-02,Air Fryer,Home & Kitchen,1,5699,5699,Hyderabad,False,,delivered
ORD10014,CUST1356,2024-04-08,Water Bottle,Home & Kitchen,1,499,499,Kolkata,False,,delivered
ORD10015,CUST1462,2024-07-26,Sunglasses,Fashion,1,1299,1299,Delhi,True,Not as described,delivered
ORD10016,CUST1402,2024-08-26,Protein Shaker,Sports,1,449,449,Bangalore,False,,delivered
ORD10017,CUST1406,2024-05-25,Cotton Kurta,Fashion,1,664,664,Kolkata,False,,delivered
ORD10018,CUST1419,2024-04-25,Sunglasses,Fashion,2,1299,2598,Chennai,False,,delivered
ORD10019,CUST1243,2024-08-21,Yoga Mat,Sports,1,999,999,Bangalore,False,,delivered
ORD10020,CUST1356,2024-07-23,Hair Oil,Beauty,1,399,399,Kolkata,False,,delivered
ORD10021,CUST1384,2024-04-22,Webcam,Electronics,1,3499,3499,Bangalore,False,,delivered
ORD10022,CUST1025,2024-03-03,Resistance Bands,Sports,1,569,569,Bangalore,False,,delivered
ORD10023,CUST1286,2024-08-14,Protein Shaker,Sports,1,449,449,Hyderabad,False,,delivered
ORD10024,CUST1425,2024-03-22,Skipping Rope,Sports,2,299,598,Chennai,False,,delivered
ORD10025,CUST1126,2024-11-16,Mixer,Home & Kitchen,1,3134,3134,Kolkata,False,,delivered
ORD10026,CUST1120,2024-06-12,Bedsheet Set,Home & Kitchen,2,1299,2598,Kolkata,True,Wrong size,delivered
ORD10027,CUST1355,2024-02-02,Sneakers,Fashion,1,1999,1999,Hyderabad,False,,delivered
ORD10028,CUST1031,2024-07-18,Watch,Fashion,3,4999,14997,Bangalore,False,,delivered
ORD10029,CUST1438,2024-09-01,Skipping Rope,Sports,1,284,284,Pune,False,,delivered
ORD10030,CUST1436,2024-09-06,Lipstick Set,Beauty,1,599,599,Delhi,False,,delivered
ORD10031,CUST1172,2024-08-27,Lipstick Set,Beauty,3,599,1797,Delhi,False,,delivered
ORD10032,CUST1464,2024-02-12,Face Serum,Beauty,1,899,899,Chennai,False,,delivered
ORD10033,CUST1025,2024-06-16,Mixer,Home & Kitchen,1,3134,3134,Bangalore,False,,delivered
ORD10034,CUST1194,2024-05-09,Mixer,Home & Kitchen,2,3299,6598,Bangalore,False,,delivered
ORD10035,CUST1026,2024-11-28,Water Bottle,Home & Kitchen,1,499,499,Pune,False,,delivered
ORD10036,CUST1015,2024-01-11,Sneakers,Fashion,1,1999,1999,Delhi,False,,delivered
ORD10037,CUST1058,2024-08-26,Resistance Bands,Sports,1,599,599,Kolkata,False,,delivered
ORD10038,CUST1310,2024-06-08,Phone Case,Electronics,1,379,379,Hyderabad,True,Not as described,delivered
ORD10039,CUST1464,2024-04-11,Hair Oil,Beauty,1,399,399,Chennai,False,,delivered
ORD10040,CUST1052,2024-10-16,Air Fryer,Home & Kitchen,2,5999,11998,Hyderabad,False,,delivered
ORD10041,CUST1189,2024-01-07,USB Hub,Electronics,2,854,1708,Pune,False,,delivered
ORD10042,CUST1491,2024-12-28,Mixer,Home & Kitchen,1,3134,3134,Bangalore,False,,delivered
ORD10043,CUST1333,2024-08-26,Mixer,Home & Kitchen,1,3299,3299,Bangalore,False,,delivered
