week_label,week_start,total_orders,total_revenue,avg_order_value,total_returns,return_rate_pct,total_cancellations,cancellation_rate_pct,prev_week_revenue,revenue_wow_growth_pct,top_category,top_category_revenue
2024-W01,2024-01-01,76,164795.0,2168.36,11.0,14.47,5.0,6.58,,,Home & Kitchen,54224.0
2024-W02,2024-01-08,57,120741.0,2118.26,3.0,5.26,6.0,10.53,164795.0,-26.73,Fashion,40862.0
2024-W03,2024-01-15,51,98860.0,1938.43,4.0,7.84,7.0,13.73,120741.0,-18.12,Home & Kitchen,61448.0
2024-W04,2024-01-22,59,159597.0,2705.03,7.0,11.86,3.0,5.08,98860.0,61.44,Home & Kitchen,68347.0
2024-W05,2024-01-29,68,128038.0,1882.91,9.0,13.24,2.0,2.94,159597.0,-19.77,Fashion,50255.0
2024-W06,2024-02-05,49,111156.0,2268.49,4.0,8.16,2.0,4.08,128038.0,-13.19,Electronics,56642.0
2024-W07,2024-02-12,63,154479.0,2452.05,11.0,17.46,0.0,0.0,111156.0,38.97,Fashion,64279.0
2024-W08,2024-02-19,63,137563.0,2183.54,6.0,9.52,8.0,12.7,154479.0,-10.95,Home & Kitchen,49805.0
2024-W09,2024-02-26,57,91196.0,1599.93,6.0,10.53,4.0,7.02,137563.0,-33.71,Electronics,25939.0
2024-W10,2024-03-04,62,120109.0,1937.24,8.0,12.9,4.0,6.45,91196.0,31.7,Electronics,47501.0
2024-W11,2024-03-11,64,120033.0,1875.52,10.0,15.63,4.0,6.25,120109.0,-0.06,Fashion,37581.0
2024-W12,2024-03-18,62,193795.0,3125.73,8.0,12.9,5.0,8.06,120033.0,61.45,Fashion,90623.0
2024-W13,2024-03-25,68,144467.0,2124.51,9.0,13.24,5.0,7.35,193795.0,-25.45,Fashion,58119.0
2024-W14,2024-04-01,63,143036.0,2270.41,7.0,11.11,6.0,9.52,144467.0,-0.99,Home & Kitchen,65650.0
2024-W15,2024-04-08,56,121516.0,2169.93,8.0,14.29,5.0,8.93,143036.0,-15.05,Home & Kitchen,41422.0
2024-W16,2024-04-15,54,137347.0,2543.46,4.0,7.41,9.0,16.67,121516.0,13.03,Electronics,55254.0
2024-W17,2024-04-22,43,136818.0,3181.81,2.0,4.65,2.0,4.65,137347.0,-0.39,Home & Kitchen,73081.0
2024-W18,2024-04-29,61,94652.0,1551.67,4.0,6.56,4.0,6.56,136818.0,-30.82,Home & Kitchen,32426.0
2024-W19,2024-05-06,50,127463.0,2549.26,5.0,10.0,7.0,14.0,94652.0,34.66,Home & Kitchen,45892.0
2024-W20,2024-05-13,57,111379.0,1954.02,7.0,12.28,8.0,14.04,127463.0,-12.62,Home & Kitchen,41421.0
2024-W21,2024-05-20,49,110563.0,2256.39,6.0,12.24,1.0,2.04,111379.0,-0.73,Electronics,36786.0
2024-W22,2024-05-27,66,147884.0,2240.67,9.0,13.64,5.0,7.58,110563.0,33.76,Home & Kitchen,45754.0
2024-W23,2024-06-03,55,117431.0,2135.11,5.0,9.09,3.0,5.45,147884.0,-20.59,Electronics,42212.0
2024-W24,2024-06-10,68,123064.0,1809.76,8.0,11.76,6.0,8.82,117431.0,4.8,Home & Kitchen,44040.0
2024-W25,2024-06-17,58,188759.0,3254.47,10.0,17.24,7.0,12.07,123064.0,53.38,Home & Kitchen,72194.0
2024-W26,2024-06-24,52,144456.0,2778.0,7.0,13.46,2.0,3.85,188759.0,-23.47,Home & Kitchen,59016.0
2024-W27,2024-07-01,46,99336.0,2159.48,10.0,21.74,4.0,8.7,144456.0,-31.23,Fashion,36533.0
2024-W28,2024-07-08,55,129384.0,2352.44,9.0,16.36,3.0,5.45,99336.0,30.25,Home & Kitchen,43467.0
2024-W29,2024-07-15,58,115023.0,1983.16,10.0,17.24,5.0,8.62,129384.0,-11.1,Fashion,38650.0
2024-W30,2024-07-22,62,127938.0,2063.52,10.0,16.13,7.0,11.29,115023.0,11.23,Home & Kitchen,50022.0
2024-W31,2024-07-29,53,106819.0,2015.45,5.0,9.43,7.0,13.21,127938.0,-16.51,Home & Kitchen,51747.0
2024-W32,2024-08-05,61,123780.0,2029.18,8.0,13.11,8.0,13.11,106819.0,15.88,Electronics,43215.0
2024-W33,2024-08-12,53,103946.0,1961.25,10.0,18.87,6.0,11.32,123780.0,-16.02,Home & Kitchen,37863.0
2024-W34,2024-08-19,65,150698.0,2318.43,8.0,12.31,3.0,4.62,103946.0,44.98,Electronics,43064.0
2024-W35,2024-08-26,71,135606.0,1909.94,7.0,9.86,6.0,8.45,150698.0,-10.01,Home & Kitchen,57520.0
2024-W36,2024-09-02,48,101292.0,2110.25,2.0,4.17,3.0,6.25,135606.0,-25.3,Home & Kitchen,42793.0
2024-W37,2024-09-09,50,163729.0,3274.58,10.0,20.0,4.0,8.0,101292.0,61.64,Home & Kitchen,69647.0
2024-W38,2024-09-16,50,142219.0,2844.38,4.0,8.0,1.0,2.0,163729.0,-13.14,Home & Kitchen,63051.0
2024-W39,2024-09-23,64,159481.0,2491.89,5.0,7.81,6.0,9.38,142219.0,12.14,Fashion,60567.0
2024-W40,2024-09-30,56,146447.0,2615.13,7.0,12.5,7.0,12.5,159481.0,-8.17,Home & Kitchen,54913.0
2024-W41,2024-10-07,52,159299.0,3063.44,3.0,5.77,1.0,1.92,146447.0,8.78,Fashion,67371.0
2024-W42,2024-10-14,67,151679.0,2263.87,7.0,10.45,6.0,8.96,159299.0,-4.78,Home & Kitchen,47553.0
2024-W43,2024-10-21,49,105118.0,2145.27,7.0,14.29,0.0,0.0,151679.0,-30.7,Home & Kitchen,56615.0
2024-W44,2024-10-28,42,86517.0,2059.93,8.0,19.05,2.0,4.76,105118.0,-17.7,Home & Kitchen,40628.0
2024-W45,2024-11-04,59,162690.0,2757.46,8.0,13.56,5.0,8.47,86517.0,88.04,Home & Kitchen,63898.0
2024-W46,2024-11-11,65,112752.0,1734.65,7.0,10.77,5.0,7.69,162690.0,-30.7,Home & Kitchen,37960.0
2024-W47,2024-11-18,65,158282.0,2435.11,10.0,15.38,5.0,7.69,112752.0,40.38,Fashion,48460.0
2024-W48,2024-11-25,50,109499.0,2189.98,3.0,6.0,2.0,4.0,158282.0,-30.82,Home & Kitchen,37488.0
2024-W49,2024-12-02,51,85849.0,1683.31,5.0,9.8,3.0,5.88,109499.0,-21.6,Electronics,29196.0
2024-W50,2024-12-09,49,104635.0,2135.41,6.0,12.24,6.0,12.24,85849.0,21.88,Fashion,33654.0
2024-W51,2024-12-16,67,130966.0,1954.72,12.0,17.91,6.0,8.96,104635.0,25.16,Electronics,46084.0
2024-W52,2024-12-23,47,107320.0,2283.4,7.0,14.89,1.0,2.13,130966.0,-18.06,Home & Kitchen,41557.0
2024-W53,2024-12-30,14,41977.0,2998.36,3.0,21.43,1.0,7.14,107320.0,-60.89,Electronics,13395.0
